,Image Index,Finding Labels
0,train_00000.png,platelet
1,train_00001.png,immature granulocytes
2,train_00002.png,neutrophil
3,train_00003.png,neutrophil
4,train_00004.png,platelet
5,train_00005.png,neutrophil
6,train_00006.png,erythroblast
7,train_00007.png,erythroblast
8,train_00008.png,platelet
9,train_00009.png,erythroblast
10,train_00010.png,eosinophil
11,train_00011.png,eosinophil
12,train_00012.png,neutrophil
13,train_00013.png,platelet
14,train_00014.png,neutrophil
15,train_00015.png,immature granulocytes
16,train_00016.png,platelet
17,train_00017.png,erythroblast
18,train_00018.png,neutrophil
19,train_00019.png,eosinophil
20,train_00020.png,neutrophil
21,train_00021.png,eosinophil
22,train_00022.png,monocyte
23,train_00023.png,monocyte
24,train_00024.png,platelet
25,train_00025.png,platelet
26,train_00026.png,basophil
27,train_00027.png,neutrophil
28,train_00028.png,lymphocyte
29,train_00029.png,monocyte
30,train_00030.png,immature granulocytes
31,train_00031.png,erythroblast
32,train_00032.png,eosinophil
33,train_00033.png,eosinophil
34,train_00034.png,neutrophil
35,train_00035.png,neutrophil
36,train_00036.png,eosinophil
37,train_00037.png,lymphocyte
38,train_00038.png,basophil
39,train_00039.png,lymphocyte
40,train_00040.png,neutrophil
41,train_00041.png,immature granulocytes
42,train_00042.png,basophil
43,train_00043.png,eosinophil
44,train_00044.png,eosinophil
45,train_00045.png,monocyte
46,train_00046.png,immature granulocytes
47,train_00047.png,basophil
48,train_00048.png,immature granulocytes
49,train_00049.png,monocyte
50,train_00050.png,eosinophil
51,train_00051.png,platelet
52,train_00052.png,lymphocyte
53,train_00053.png,lymphocyte
54,train_00054.png,eosinophil
55,train_00055.png,platelet
56,train_00056.png,neutrophil
57,train_00057.png,neutrophil
58,train_00058.png,erythroblast
59,train_00059.png,eosinophil
60,train_00060.png,neutrophil
61,train_00061.png,lymphocyte
62,train_00062.png,lymphocyte
63,train_00063.png,immature granulocytes
64,train_00064.png,monocyte
65,train_00065.png,eosinophil
66,train_00066.png,immature granulocytes
67,train_00067.png,eosinophil
68,train_00068.png,eosinophil
69,train_00069.png,platelet
70,train_00070.png,eosinophil
71,train_00071.png,platelet
72,train_00072.png,immature granulocytes
73,train_00073.png,immature granulocytes
74,train_00074.png,eosinophil
75,train_00075.png,eosinophil
76,train_00076.png,monocyte
77,train_00077.png,immature granulocytes
78,train_00078.png,neutrophil
79,train_00079.png,basophil
80,train_00080.png,neutrophil
81,train_00081.png,basophil
82,train_00082.png,immature granulocytes
83,train_00083.png,platelet
84,train_00084.png,immature granulocytes
85,train_00085.png,immature granulocytes
86,train_00086.png,basophil
87,train_00087.png,eosinophil
88,train_00088.png,immature granulocytes
89,train_00089.png,lymphocyte
90,train_00090.png,platelet
